title,description,identifier,isPartOf
Allegheny County Jail Daily Census,"***CAUTION: This dataset is under maintenance and may not be complete.***

A daily census of the inmates at the Allegheny County Jail (ACJ). Includes gender, race, age at booking, and current age. The records for each month contain a census for every day, therefore many inmates records are repeated each day.",d15ca172-66df-4508-8562-5ec54498cfd4,
City Revenues and Expenses,"City Revenues and Expenses from the Operating Budget from 2012 to Present, updated every night from the City's JD Edwards ledger.",846f028b-bcc3-45e0-b939-255cffca5f5e,
Pittsburgh Police Arrest Data,"Arrest data contains information on people taken into custody by City of Pittsburgh police officers. More serious crimes such as felony offenses are more likely to result in an arrest. However, arrests can occur as a result of other offenses, such as parole violations or a failure to appear for trial. All data is reported at the block/intersection level, with the exception of sex crimes, which are reported at the police zone level. 

This dataset only contains information reported by City of Pittsburgh Police. It does not contain information about incidents that solely involve other police departments operating within the city (for example, campus police or Port Authority police).

[Crime Data Guide](http://www.wprdc.org/crime/)",d809c36f-28fe-40e6-a33e-796f15c66a69,
"Licensed Businesses, Contractors & Trades",Current and historical business licenses for the City of Pittsburgh ranging from entertainment to contract workers.,2b5324d4-c57f-42f7-bac8-2aec26e199cf,
Allegheny County Kane Regional Center Census,"Total number of residents in each Kane Regional Center facility by race and gender. The Kane Regional Centers are skilled nursing and rehabilitation centers run by Allegheny County. 

A census of residents recorded once a week.",db327693-d758-431e-9f59-a906bdef46b3,
Allegheny County Asbestos Permits,"Current asbestos permit data issued by the County for commercial building demolitions and renovations as required by the EPA. This file is updated daily and can be downloaded below.

If you're looking for the documents themselves, click on the link directly below to navigate to Allegheny County's Open Document Portal. Here you can search for printable pdfs of the applications and permits for posting at job sites. Start with the 'Select Search Type' drop down field. http://documents.alleghenycounty.us/publicaccess/DatasourceTemplate.aspx",7c0175b7-ff33-43ea-b353-bc2c5199a7ff,
Allegheny County Election Results,"Official, certified results of primary, general, and special elections held in Allegheny County. (Note that the most recent results may not yet be certified. Please check the link at https://www.alleghenycounty.us/elections/election-results.aspx to determine whether the results have been certified.)",ea85f4b5-0b95-41b8-86ee-f1e6d16fc409,
Allegheny County Hydrology Lines,"<p>The Hydrology Feature Dataset contains photogrammetrically compiled water
drainage features and structures including rivers, streams, drainage canals,
locks, dams, lakes, ponds, reservoirs and mooring cells. Rivers, Lakes, Ponds,
Reservoirs, Hidden Lakes, Reservoirs or Ponds: If greater than 25 feet and less
than 30 feet wide, is captured as a double line stream. If greater than 30 feet
wide it is captured as a river. Lakes are large standing bodies of water
greater than 5 acres in size. Ponds are large standing bodies of water greater
than 1 acre and less than 5 acres in size. Polygons are created from Stream
edges and River Edges.  The Ohio River,
Monongahela River and Allegheny River are coded as Major Rivers. All other
River and Stream polygons are coded as River. If a stream is less than 25 feet
wide it is placed as a single line and coded as a Stream.  Both sides of the stream are digitized and
coded as a Stream for Streams whose width is greater than 25 feet.  River edges are digitized and coded as River.
A Drainage Canal is a manmade or channelized hydrographic feature.  Drainage Canals are differentiated from
streams in that drainage canals have had the sides and/or bottom stabilized to
prevent erosion for the predominant length of the feature.  Streams may have had some stabilization done,
but are primarily in a natural state. Lakes are large standing bodies of water
greater than five acres in size.  Ponds are
large standing bodies of water greater than one acre in size and less than five
acres in size.  Reservoirs are manmade
embankments of water.  Included in this
definition are both covered and uncovered water tanks. Reservoirs that are
greater than one acre in size are digitized. Hidden Streams, Hidden Rivers and
Hidden Drainage Canal or Culverts are those areas of drainage where the water
flows through a manmade facility such as a culvert. Hydrology Annotation is not
being updated but will be preserved.  If
a drainage feature has been removed, as apparent on the aerial photography, the
associated drainage name annotation will be removed. A Mooring Cell is a
structure to which tows can tie off while awaiting lockage.  They are normally constructed of concrete and
steel and are anchored to the river bottom by means of gravity or sheet piling.
Mooring Cells do not currently exist in the Allegheny County dataset but will
be added. Locks are devices that are used to control flow or access to a
hydrologic feature.  The edges of the
Lock are captured.  Dams are devices that
are used to hold or delay the natural flow of water.  The edges of the Dam are shown.</p>

<p>If viewing this description on the Western Pennsylvania
Regional Data Center’s open data portal (<a href=""http://www.wprdc.org"">http://www.wprdc.org</a>), this
dataset is harvested on a weekly basis from Allegheny County’s GIS data portal
(<a href=""http://openac.alcogis.opendata.arcgis.com/"">http://openac.alcogis.opendata.arcgis.com/</a>). The
full metadata record for this dataset can also be found on Allegheny County’s
GIS portal. You can access the metadata record and other resources on the GIS
portal by clicking on the “Explore” button (and choosing the “Go to resource”
option) to the right of the “ArcGIS Open Dataset” text below.</p>

<p><b>Category:</b>  Environment</p>

<p><b>Organization:</b>  Allegheny County</p>

<p><b>Department:</b>  Geographic Information Systems Group; Department of
Administrative Services</p>

<p><b>Temporal
Coverage:  </b>2006<b></b></p>

<p><b>Data
Notes:  </b></p>

<p>Coordinate System: 
Pennsylvania State Plane South Zone 3702; U.S. Survey Foot</p>

<p>Development Notes:  Original Lakes and Drainage datasets combined
to create this layer. Data was updated as a result of a flyover in the spring
of 2004. A database field has been defined for all map features named
&quot;Update Year&quot;. This database field will define which dataset provided
each map feature. Map features from the current map will be set to
&quot;2004&quot;. The earlier dataset map features the earlier dataset map features
used to supplement the area near the county boundary will be set to
&quot;1993&quot;. All new or modified map data will have the value for
&quot;Update Year&quot; set to &quot;2004&quot;.  </p>

<p>Other: none<b></b></p>

<p><b>Related
Document(s):</b>  Data
Dictionary (https://docs.google.com/spreadsheets/d/16BWrRkoPtq2ANRkrbG7CrfQk2dUsWRiaS2Ee1mTn7l0/edit?usp=sharing)</p>

<p><b>Frequency
- Data Change:</b>  As needed</p>

<p><b>Frequency
- Publishing:</b>  As needed</p>

<p><b>Data
Steward Name:</b>  Eli Thomas</p>

<p><b>Data
Steward Email:</b> gishelp@alleghenycounty.us</p>",4b94de97-eed9-4717-ad85-bab8d227a457,
Allegheny County Dam Locations,"<p>This dataset shows the point locations of dams in Allegheny County.</p>

<p>If viewing this description on the Western Pennsylvania
Regional Data Center’s open data portal (<a href=""http://www.wprdc.org"">http://www.wprdc.org</a>), this
dataset is harvested on a weekly basis from Allegheny County’s GIS data portal
(<a href=""http://openac.alcogis.opendata.arcgis.com/"">http://openac.alcogis.opendata.arcgis.com/</a>). The
full metadata record for this dataset can also be found on Allegheny County’s
GIS portal. You can access the metadata record and other resources on the GIS
portal by clicking on the “Explore” button (and choosing the “Go to resource”
option) to the right of the “ArcGIS Open Dataset” text below.</p>

<p><b>Category:</b>  Energy</p>

<p><b>Organization:</b>  Allegheny County</p>

<p><b>Department:</b>  Geographic Information Systems Group; Department of
Administrative Services</p>

<p><b>Temporal
Coverage:  </b>2003<b></b></p>

<p><b>Data
Notes:  </b></p>

<p>Coordinate System: 
Pennsylvania State Plane South Zone 3702; U.S. Survey Foot</p>

<p>Development Notes:  none </p>

<p>Other: none<b></b></p>

<p><b>Related
Document(s):</b>  Data
Dictionary (none)</p>

<p><b>Frequency
- Data Change:</b>  As needed</p>

<p><b>Frequency
- Publishing:</b>  As needed</p>

<p><b>Data
Steward Name:</b>  Eli Thomas</p>

<p><b>Data
Steward Email:</b> gishelp@alleghenycounty.us</p>",0242e1da-a245-4330-81c0-9b10ed75d565,
Allegheny County Cemetery Outlines,"<p>Outlines of public and private cemeteries greater than one acre in size.
Areas were delineated following a generalized line along the outside edge of
the area. Individual features within the cemetery are not shown.</p>

<p>If viewing this description on the Western Pennsylvania
Regional Data Center’s open data portal (<a href=""http://www.wprdc.org"">http://www.wprdc.org</a>), this
dataset is harvested on a weekly basis from Allegheny County’s GIS data portal
(<a href=""http://openac.alcogis.opendata.arcgis.com/"">http://openac.alcogis.opendata.arcgis.com/</a>). The
full metadata record for this dataset can also be found on Allegheny County’s
GIS portal. You can access the metadata record and other resources on the GIS
portal by clicking on the “Explore” button (and choosing the “Go to resource”
option) to the right of the “ArcGIS Open Dataset” text below.</p>

<p><b>Category:</b>  Civic Vitality and Governance</p>

<p><b>Organization:</b>  Allegheny County</p>

<p><b>Department:</b>  Geographic Information Systems Group; Department of
Administrative Services</p>

<p><b>Temporal
Coverage:  </b>2002<b></b></p>

<p><b>Data
Notes:  </b></p>

<p>Coordinate System: 
Pennsylvania State Plane South Zone 3702; U.S. Survey Foot</p>

<p>Development Notes:  none</p>

<p>Other: none<b></b></p>

<p><b>Related
Document(s):</b>  Data
Dictionary (https://docs.google.com/spreadsheets/d/158zM8UNnyvC51iaiLd51LfHyBdOjaNhXmz3ZQL8kXUc/edit?usp=sharing)</p>

<p><b>Frequency
- Data Change:</b>  As needed</p>

<p><b>Frequency
- Publishing:</b>  As needed</p>

<p><b>Data
Steward Name:</b>  Eli Thomas</p>

<p><b>Data
Steward Email:</b> gishelp@alleghenycounty.us</p>",7973ae28-2f11-46c0-9cbb-59af8b9271b7,
Allegheny County Soil Type Areas,"<p>This dataset contains soil type and soil classification, by area. </p>

<p>If viewing this description on the Western Pennsylvania
Regional Data Center’s open data portal (<a href=""http://www.wprdc.org"">http://www.wprdc.org</a>), this
dataset is harvested on a weekly basis from Allegheny County’s GIS data portal
(<a href=""http://openac.alcogis.opendata.arcgis.com/"">http://openac.alcogis.opendata.arcgis.com/</a>). The
full metadata record for this dataset can also be found on Allegheny County’s
GIS portal. You can access the metadata record and other resources on the GIS
portal by clicking on the “Explore” button (and choosing the “Go to resource”
option) to the right of the “ArcGIS Open Dataset” text below.</p>

<p><b>Category:</b>  Environment</p>

<p><b>Organization:</b>  Allegheny County</p>

<p><b>Department:</b>  Geographic Information Systems Group; Department of
Administrative Services</p>

<p><b>Temporal
Coverage:  </b>2000<b></b></p>

<p><b>Data
Notes:  </b></p>

<p>Coordinate System: 
Pennsylvania State Plane South Zone 3702; U.S. Survey Foot</p>

<p>Development Notes:  This data set is a digital soil survey and
generally is the most detailed level of soil geographic data developed by the
National Cooperative Soil Survey. The information was prepared by digitizing
maps, by compiling information onto a planimetric correct base and digitizing,
or by revising digitized maps using remotely sensed and other information. This
data set consists of georeferenced digital map data and computerized attribute
data. The map data are in a soil survey area extent format and include a
detailed, field verified inventory of soils and miscellaneous areas that
normally occur in a repeatable pattern on the landscape and that can be
cartographically shown at the scale mapped. A special soil features layer
(point and line features) is optional. This layer displays the location of
features too small to delineate at the mapping scale, but they are large enough
and contrasting enough to significantly influence use and management. The soil
map units are linked to attributes in the National Soil Information System
relational database, which gives the proportionate extent of the component
soils and their properties.  The soil map
and data used in the SSURGO product were prepared by soil scientists as part of
the National Cooperative Soil Survey</p>

<p>Other: 
none<b></b></p>

<p><b>Related
Document(s):</b>  <a href=""https://alleghenycounty-my.sharepoint.com/:t:/g/personal/melinda_angeles_alleghenycounty_us/ETPZnkA93thJs6tnW7ZivmMBL0KH6dFMQa5_Ax8m3OkMdQ?e=cYsXcz"" target=""_blank"">Data Dictionary for SOIL_CODE</a> </p>

<p><b>Frequency
- Data Change:</b>  As needed</p>

<p><b>Frequency
- Publishing:</b>  As needed</p>

<p><b>Data
Steward Name:</b>  Eli Thomas</p>

<p><b>Data
Steward Email:</b> gishelp@alleghenycounty.us</p>",749d1cdb-cd9e-4da2-bfdc-1fe299f9ba84,
Allegheny County Wooded Area Boundaries,"<p>This dataset demarcates stands of trees (coniferous and deciduous) too
numerous to plot as individual trees. The area is delineated following a
generalized line along the outside edge of tree trunks. Areas are captured if
at least one acre in size or of major significance especially in urban areas.</p>

<p>If viewing this description on the Western Pennsylvania
Regional Data Center’s open data portal (<a href=""http://www.wprdc.org"">http://www.wprdc.org</a>), this
dataset is harvested on a weekly basis from Allegheny County’s GIS data portal
(<a href=""http://openac.alcogis.opendata.arcgis.com/"">http://openac.alcogis.opendata.arcgis.com/</a>). The
full metadata record for this dataset can also be found on Allegheny County’s
GIS portal. You can access the metadata record and other resources on the GIS
portal by clicking on the “Explore” button (and choosing the “Go to resource”
option) to the right of the “ArcGIS Open Dataset” text below.</p>

<p><b>Category:</b>  Environment</p>

<p><b>Organization:</b>  Allegheny County</p>

<p><b>Department:</b>  Geographic Information Systems Group; Department of
Administrative Services</p>

<p><b>Temporal
Coverage:  </b>2011<b></b></p>

<p><b>Data
Notes:  </b></p>

<p>Coordinate System: 
Pennsylvania State Plane South Zone 3702; U.S. Survey Foot</p>

<p>Development Notes:  Original data was derived from aerial
photography flown in the spring of 1992 for the eastern half of the County and
the spring of 1993 for the western half of the County.</p>

<p>Other: none<b></b></p>

<p><b>Related
Document(s):</b>  Data
Dictionary (https://docs.google.com/spreadsheets/d/13iD7V2XJ36DYVpnRm-3RG7CprSsCHGrWw6-bZorl8Mg/edit?usp=sharing)</p>

<p><b>Frequency
- Data Change:</b>  As needed</p>

<p><b>Frequency
- Publishing:</b>  As needed</p>

<p><b>Data
Steward Name:</b>  Eli Thomas</p>

<p><b>Data
Steward Email:</b> gishelp@alleghenycounty.us</p>",8d3104f6-a1dc-46b0-a2bc-9715af02f543,
Allegheny County-Owned Bridges Points,"<p>This dataset shows the location of bridges owned by Allegheny County as
centroids.</p>

<p>If viewing this description on the Western Pennsylvania
Regional Data Center’s open data portal (<a href=""http://www.wprdc.org"">http://www.wprdc.org</a>), this
dataset is harvested on a weekly basis from Allegheny County’s GIS data portal
(<a href=""http://openac.alcogis.opendata.arcgis.com/"">http://openac.alcogis.opendata.arcgis.com/</a>). The
full metadata record for this dataset can also be found on Allegheny County’s
GIS portal. You can access the metadata record and other resources on the GIS
portal by clicking on the “Explore” button (and choosing the “Go to resource”
option) to the right of the “ArcGIS Open Dataset” text below.</p>

<p><b>Category:</b>  Civic Vitality and Governance</p>

<p><b>Organization:</b>  Allegheny County</p>

<p><b>Department:</b>  Public Works</p>

<p><b>Temporal
Coverage:  </b>current</p>

<p><b>Data
Notes:  </b></p>

<p>Coordinate System: 
Pennsylvania State Plane South Zone 3702; U.S. Survey Foot</p>

<p>Development Notes:  none</p>

<p>Other: none<b></b></p>

<p><b>Related
Document(s):</b>  Data
Dictionary (none)</p>

<p><b>Frequency
- Data Change:</b>  As needed</p>

<p><b>Frequency
- Publishing:</b>  As needed</p>

<p><b>Data
Steward Name:</b>  Eli Thomas</p>

<p><b>Data
Steward Email:</b> gishelp@alleghenycounty.us</p>",66b6bc87-586d-44de-9c8e-8df26a5f1083,
Allegheny County Basin Outlines Map,"<p>This basins dataset was created to initiate regional watershed approaches
with respect to sewer rehabilitation.</p>

<p>If viewing this description on the Western Pennsylvania
Regional Data Center’s open data portal (<a href=""http://www.wprdc.org"">http://www.wprdc.org</a>), this
dataset is harvested on a weekly basis from Allegheny County’s GIS data portal
(<a href=""http://openac.alcogis.opendata.arcgis.com/"">http://openac.alcogis.opendata.arcgis.com/</a>). The
full metadata record for this dataset can also be found on Allegheny County’s
GIS portal. You can access the metadata record and other resources on the GIS
portal by clicking on the “Explore” button (and choosing the “Go to resource”
option) to the right of the “ArcGIS Open Dataset” text below.</p>

<p><b>Category:</b>  Environment</p>

<p><b>Organization:</b>  Allegheny County</p>

<p><b>Department:</b>  Geographic Information Systems Group; Department of
Administrative Services</p>

<p><b>Temporal
Coverage:  </b>2002<b></b></p>

<p><b>Data
Notes:  </b></p>

<p>Coordinate System: 
Pennsylvania State Plane South Zone 3702; U.S. Survey Foot</p>

<p>Development Notes:  This dataset was originally created by Camp
Dresser and McKee for the Allegheny County Sanitary Authority (ALCOSAN) Long
Term Control Plan to manage combined sewer overflows, and later adapted for 3
Rivers Wet Weather Demonstration Program purposes for modeling stormwater
flows.</p>

<p>Other: 
none<b></b></p>

<p><b>Related
Document(s):</b>  Data
Dictionary (https://docs.google.com/spreadsheets/d/1458z9eMnd0X3aUADFHz60UFUEECIPGzR3u7gn27DFeo/edit?usp=sharing)</p>

<p><b>Frequency
- Data Change:</b>  As needed</p>

<p><b>Frequency
- Publishing:</b>  As needed</p>

<p><b>Data
Steward Name:</b>  Eli Thomas</p>

<p><b>Data
Steward Email:</b> gishelp@alleghenycounty.us</p>",2e68481c-3ba2-43fd-a5d5-b833fb1d89b2,
Allegheny County Land Cover Areas,"<p>The Land Cover dataset demarcates 14 land cover types by area; such as
Residential, Commercial, Industrial, Forest, Agriculture, etc.</p>

<p>If viewing this description on the Western Pennsylvania
Regional Data Center’s open data portal (<a href=""http://www.wprdc.org"">http://www.wprdc.org</a>), this
dataset is harvested on a weekly basis from Allegheny County’s GIS data portal
(<a href=""http://openac.alcogis.opendata.arcgis.com/"">http://openac.alcogis.opendata.arcgis.com/</a>). The
full metadata record for this dataset can also be found on Allegheny County’s
GIS portal. You can access the metadata record and other resources on the GIS
portal by clicking on the “Explore” button (and choosing the “Go to resource”
option) to the right of the “ArcGIS Open Dataset” text below.</p>

<p><b>Category:</b>  Geography</p>

<p><b>Organization:</b>  Allegheny County</p>

<p><b>Department:</b>  Geographic Information Systems Group; Department of
Administrative Services</p>

<p><b>Temporal
Coverage:  </b>1994<b></b></p>

<p><b>Data
Notes:  </b></p>

<p>Coordinate System: 
Pennsylvania State Plane South Zone 3702; U.S. Survey Foot</p>

<p>Development Notes:  The dataset was created by Chester
Environmental through combined image processing and GIS analysis of Landsat TM
imagery of October 2, 1992, existing aerial photography, hardcopy and digital
mapping sources and Census Bureau demographic data. The original dataset was
created in 1993, then updated by Chester in 1994.</p>

<p>Other: none<b></b></p>

<p><b>Related
Document(s):</b>  Data
Dictionary (https://docs.google.com/spreadsheets/d/1VfUflfki42mpLSkr1R-up_OXGD3mHnv8tqeXf6XS9O0/edit?usp=sharing)</p>

<p><b>Frequency
- Data Change:</b>  As needed</p>

<p><b>Frequency
- Publishing:</b>  As needed</p>

<p><b>Data
Steward Name:</b>  Eli Thomas</p>

<p><b>Data
Steward Email:</b> gishelp@alleghenycounty.us</p>",829733f9-61dd-48ad-a68c-e5193d3ce14b,
Allegheny County Hydrology Areas,"<p>The Hydrology Feature Dataset contains photogrammetrically compiled water
drainage features and structures including rivers, streams, drainage canals,
locks, dams, lakes, ponds, reservoirs and mooring cells.  Lakes are large standing bodies of water
greater than 5 acres in size. Ponds are large standing bodies of water greater
than 1 acre and less than 5 acres in size. Polygons are created from Stream
edges and River Edges.  The Ohio River,
Monongahela River and Allegheny River are coded as Major River polygons.  All other River and Stream polygons are coded
as River. A Drainage Canal is a manmade or channelized hydrographic
feature.  Drainage Canals are
differentiated from streams in that drainage canals have had the sides and/or
bottom stabilized to prevent erosion for the predominant length of the
feature.  Streams may have had some
stabilization done, but are primarily in a natural state. Lakes are large
standing bodies of water greater than five acres in size.  Ponds are large standing bodies of water
greater than one acre in size and less than five acres in size.  Reservoirs are manmade embankments of
water.  Included in this definition are
both covered and uncovered water tanks. Reservoirs that are greater than one
acre in size are digitized. Hidden Streams, Hidden Rivers and Hidden Drainage
Canal or Culverts are those areas of drainage where the water flows through a
manmade facility such as a culvert. Hydrology Annotation is not being updated
but will be preserved.  If a drainage
feature has been removed, as apparent on the aerial photography, the associated
drainage name annotation will be removed. A Mooring Cell is a structure to
which tows can tie off while awaiting lockage. 
They are normally constructed of concrete and steel and are anchored to
the river bottom by means of gravity or sheet piling. Mooring Cells do not
currently exist in the Allegheny County dataset but will be added. Locks are
devices that are used to control flow or access to a hydrologic feature.  The edges of the Lock are captured.  Dams are devices that are used to hold or
delay the natural flow of water.  The
edges of the Dam are shown.</p>

<p>If viewing this description on the Western Pennsylvania
Regional Data Center’s open data portal (<a href=""http://www.wprdc.org"">http://www.wprdc.org</a>), this
dataset is harvested on a weekly basis from Allegheny County’s GIS data portal
(<a href=""http://openac.alcogis.opendata.arcgis.com/"">http://openac.alcogis.opendata.arcgis.com/</a>). The
full metadata record for this dataset can also be found on Allegheny County’s
GIS portal. You can access the metadata record and other resources on the GIS
portal by clicking on the “Explore” button (and choosing the “Go to resource”
option) to the right of the “ArcGIS Open Dataset” text below.</p>

<p><b>Category:</b>  Environment</p>

<p><b>Organization:</b>  Allegheny County</p>

<p><b>Department:</b>  Geographic Information Systems Group; Department of
Administrative Services</p>

<p><b>Temporal
Coverage:  </b>2006<b></b></p>

<p><b>Data
Notes:  </b></p>

<p>Coordinate System: 
Pennsylvania State Plane South Zone 3702; U.S. Survey Foot</p>

<p>Development Notes:  Original Lakes and Drainage datasets combined
to create this layer. Data was updated as a result of a flyover in the spring of
2004. A database field has been defined for all map features named &quot;Update
Year&quot;. This database field will define which dataset provided each map
feature. Map features from the current map will be set to &quot;2004&quot;. The
earlier dataset map features the earlier dataset map features used to
supplement the area near the county boundary will be set to &quot;1993&quot;.
All new or modified map data will have the value for &quot;Update Year&quot;
set to &quot;2004&quot;.  </p>

<p>Other: none<b></b></p>

<p><b>Related
Document(s):</b>  Data
Dictionary (https://docs.google.com/spreadsheets/d/16BWrRkoPtq2ANRkrbG7CrfQk2dUsWRiaS2Ee1mTn7l0/edit?usp=sharing)</p>

<p><b>Frequency
- Data Change:</b>  As needed</p>

<p><b>Frequency
- Publishing:</b>  As needed</p>

<p><b>Data
Steward Name:</b>  Eli Thomas</p>

<p><b>Data
Steward Email:</b> gishelp@alleghenycounty.us</p>",f063ae36-6c90-4c3c-aafe-102a876d0d44,
Allegheny County Public Building Locations,"<p>This dataset contains the locations of municipal facilities in Allegheny
County.</p>

<p>If viewing this description on the Western Pennsylvania
Regional Data Center’s open data portal (<a href=""http://www.wprdc.org"">http://www.wprdc.org</a>), this
dataset is harvested on a weekly basis from Allegheny County’s GIS data portal
(<a href=""http://openac.alcogis.opendata.arcgis.com/"">http://openac.alcogis.opendata.arcgis.com/</a>). The
full metadata record for this dataset can also be found on Allegheny County’s
GIS portal. You can access the metadata record and other resources on the GIS
portal by clicking on the “Explore” button (and choosing the “Go to resource”
option) to the right of the “ArcGIS Open Dataset” text below.</p>

<p><b>Category:</b>  Housing and Properties</p>

<p><b>Organization:</b>  Allegheny County</p>

<p><b>Department:</b>  Geographic Information Systems Group; Department of
Administrative Services</p>

<p><b>Temporal
Coverage:  </b>2002<b></b></p>

<p><b>Data
Notes:  </b></p>

<p>Coordinate System: 
Pennsylvania State Plane South Zone 3702; U.S. Survey Foot</p>

<p>Development Notes:  none</p>

<p>Other: 
none<b></b></p>

<p><b>Related
Document(s):</b>  Data
Dictionary (none)</p>

<p><b>Frequency
- Data Change:</b>  As needed</p>

<p><b>Frequency
- Publishing:</b>  As needed</p>

<p><b>Data
Steward Name:</b>  Eli Thomas</p>

<p><b>Data
Steward Email:</b> gishelp@alleghenycounty.us</p>",b1137baf-7316-4e2b-8dbf-a8a72469fce3,
Allegheny County Major Rivers,"<p>This dataset contains locations of major rivers that flow through
Allegheny County. These shapes have been taken from the Hydrology dataset. The
Ohio River, Monongahela River and Allegheny River are coded as Major Rivers.</p>

<p>If viewing this description on the Western Pennsylvania
Regional Data Center’s open data portal (<a href=""http://www.wprdc.org"">http://www.wprdc.org</a>), this
dataset is harvested on a weekly basis from Allegheny County’s GIS data portal
(<a href=""http://openac.alcogis.opendata.arcgis.com/"">http://openac.alcogis.opendata.arcgis.com/</a>). The
full metadata record for this dataset can also be found on Allegheny County’s
GIS portal. You can access the metadata record and other resources on the GIS
portal by clicking on the “Explore” button (and choosing the “Go to resource”
option) to the right of the “ArcGIS Open Dataset” text below.</p>

<p><b>Category:</b>  Geography</p>

<p><b>Organization:</b>  Allegheny County</p>

<p><b>Department:</b>  Geographic Information Systems Group; Department of
Administrative Services</p>

<p><b>Temporal
Coverage:  </b>2012<b></b></p>

<p><b>Data
Notes:  </b></p>

<p>Coordinate System: 
Pennsylvania State Plane South Zone 3702; U.S. Survey Foot</p>

<p>Development Notes:  Exported from the Hydrology datasets.</p>

<p>Other: none<b></b></p>

<p><b>Related
Document(s):</b>  Data
Dictionary (https://docs.google.com/spreadsheets/d/16BWrRkoPtq2ANRkrbG7CrfQk2dUsWRiaS2Ee1mTn7l0/edit?usp=sharing)</p>

<p><b>Frequency
- Data Change:</b>  As needed</p>

<p><b>Frequency
- Publishing:</b>  As needed</p>

<p><b>Data
Steward Name:</b>  Eli Thomas</p>

<p><b>Data
Steward Email:</b> gishelp@alleghenycounty.us</p>",d285f358-154e-4115-b2e2-520ccf48a2f1,
